file_id,file_location,file_name,file_size,img_lat,img_lon,img_width,img_len,img_date_time,img_exif_ver,img_make,img_model,img_rotate,img_tags,img_status,rvw_lvl,notes,musiq_score,dup_photo,dup_target,cosine_sim,img_caption,img_intro_paragraph,img_album_uri,img_ext_descr,img_title
1000,,prelim_map.jpg,354682,0,0,0,0,1969:12:31 16:00:00,0,na,na,0, ,tbd,4,,5.167,,F,-1,,,,,
1001,/2024-09-09,PXL_20240908_210721650.jpg,4761041,1.354944,103.985553,4080,3072,2024:09:09 05:07:21,0232,Google,Pixel 8 Pro,1, ,tbd,4,,5.099,,F,-1,,,,,
1002,/2024-09-09,PXL_20240908_211758452.jpg,2570764,1.350181,103.983778,3072,4080,2024:09:09 05:17:58,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.152,,F,-1,,,,,
1003,/2024-09-09,PXL_20240908_212449554.jpg,5133248,1.353975,103.985317,4080,3072,2024:09:09 05:24:49,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.377,,F,-1,,,,,
1004,/2024-09-09,PXL_20240908_212505719.jpg,2417089,1.353975,103.985317,3648,2736,2024:09:09 05:25:05,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.166,,T,-1,,,,,
1005,/2024-09-09,PXL_20240908_212508186.jpg,2435765,1.353975,103.985317,3648,2736,2024:09:09 05:25:08,0232,Google,Pixel 8 Pro,1, ,dup,2,,4.084,2024-09-09/PXL_20240908_212505719.jpg,F,0.977565,,,,,
1006,/2024-09-09,PXL_20240908_215950374.jpg,3903514,1.354478,103.985314,3072,4080,2024:09:09 05:59:50,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.278,,F,-1,,,,,
1007,/2024-09-09,PXL_20240909_050440491.jpg,1832338,0,0,4080,3072,2024:09:09 13:04:40,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.518,,F,-1,,,,,
1008,/2024-09-09,PXL_20240909_050700134.jpg,1577868,33.520619,114.476083,4080,3072,2024:09:09 13:07:00,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.786,,F,-1,,,,,
1009,/2024-09-09,PXL_20240909_051039609.jpg,1425859,33.988806,114.520025,4080,3072,2024:09:09 13:10:39,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.744,,F,-1,,,,,
1010,/2024-09-09,PXL_20240909_051045546.jpg,1832602,33.988806,114.520025,4080,3072,2024:09:09 13:10:45,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.001,,F,-1,,,,,
1011,/2024-09-09,PXL_20240909_051204686.jpg,1584050,33.988806,114.520025,4080,3072,2024:09:09 13:12:04,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.999,,F,-1,,,,,
1012,/2024-09-09,PXL_20240909_051223571.jpg,1632084,33.988806,114.520025,4080,3072,2024:09:09 13:12:23,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.784,,F,-1,,,,,
1013,/2024-09-09,PXL_20240909_051612244.jpg,995573,34.753472,114.59265,4080,3072,2024:09:09 13:16:12,0232,Google,Pixel 8 Pro,1, ,tbd,3,,4.147,,F,-1,,,,,
1014,/2024-09-09,PXL_20240909_051647410.NIGHT.jpg,2579755,34.753472,114.59265,3072,4080,2024:09:09 13:16:47,0232,Google,Pixel 8 Pro,1, ,bad,1,,3.711,,F,-1,,,,,
